id,title,release_date,release_year,runtime,budget,revenue,vote_average,vote_count,popularity,genres,profit,roi,primary_genre,era
417870,Girls Trip,2017-07-21,2017,122,19000000,140376621,6.824,1543,10.4101,"['Comedy', 'Romance', 'Adventure']",121376621,6.388243210526316,Comedy,pre_covid
400928,Gifted,2017-04-07,2017,101,7000000,40300000,8.0,5808,10.3887,"['Drama', 'Comedy']",33300000,4.757142857142857,Drama,pre_covid
181808,Star Wars: The Last Jedi,2017-12-13,2017,152,300000000,1332698830,6.8,15948,10.3514,"['Adventure', 'Action', 'Science Fiction']",1032698830,3.442329433333333,Adventure,pre_covid
391713,Lady Bird,2017-09-01,2017,94,10000000,79000000,7.253,8843,10.049,"['Drama', 'Comedy']",69000000,6.9,Drama,pre_covid
324552,John Wick: Chapter 2,2017-02-08,2017,122,40000000,171539887,7.34,13831,9.8095,"['Action', 'Thriller', 'Crime']",131539887,3.288497175,Action,pre_covid
260514,Cars 3,2017-06-15,2017,102,175000000,383925276,6.9,6209,9.7147,"['Animation', 'Adventure', 'Comedy', 'Family']",208925276,1.19385872,Animation,pre_covid
274857,King Arthur: Legend of the Sword,2017-05-10,2017,126,175000000,149175066,6.551,5911,9.5564,"['Action', 'Drama', 'Fantasy']",-25824934,-0.14757105142857144,Action,pre_covid
47971,xXx: Return of Xander Cage,2017-01-13,2017,107,85000000,346118277,6.1,9135,9.4876,"['Action', 'Adventure', 'Crime']",261118277,3.0719797294117646,Action,pre_covid
394117,The Florida Project,2017-10-06,2017,112,2000000,11303040,7.4,2983,9.4112,['Drama'],9303040,4.65152,Drama,pre_covid
337339,The Fate of the Furious,2017-04-12,2017,136,250000000,1236000000,6.859,10626,8.871,"['Action', 'Crime', 'Thriller']",986000000,3.944,Action,pre_covid
281338,War for the Planet of the Apes,2017-07-11,2017,140,150000000,490719763,7.2,9466,8.4361,"['Drama', 'Science Fiction', 'War']",340719763,2.271465086666667,Drama,pre_covid
430424,See You Up There,2017-10-25,2017,113,23000000,15100000,7.829,1332,8.258,"['Drama', 'Crime', 'War']",-7900000,-0.34347826086956523,Drama,pre_covid
166426,Pirates of the Caribbean: Dead Men Tell No Tales,2017-05-23,2017,129,230000000,795922298,6.654,12511,8.1446,"['Adventure', 'Action', 'Fantasy']",565922298,2.4605317304347825,Adventure,pre_covid
381288,Split,2017-01-19,2017,117,9000000,278454358,7.343,17997,8.0399,"['Horror', 'Thriller']",269454358,29.93937311111111,Horror,pre_covid
397567,Along with the Gods: The Two Worlds,2017-12-20,2017,139,18300000,125983972,8.0,1135,7.9911,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Thriller']",107683972,5.884370054644808,Action,pre_covid
479718,The Outlaws,2017-10-03,2017,121,5900000,52946454,7.7,491,7.9414,"['Action', 'Crime', 'Thriller']",47046454,7.973975254237288,Action,pre_covid
335988,Transformers: The Last Knight,2017-06-16,2017,154,217000000,605425157,6.055,6547,7.8333,"['Action', 'Adventure', 'Science Fiction']",388425157,1.7899776820276498,Action,pre_covid
341013,Atomic Blonde,2017-07-26,2017,115,30000000,100014025,6.431,6467,7.8194,"['Action', 'Adventure', 'Thriller']",70014025,2.3338008333333335,Action,pre_covid
